index,binder_name,page_number,slot_number,card_id,card_name,set_name,card_market_value
299,2,9,9,base4-81,UNKNOWN,Base Set 2,0.43
2101,2,10,1,base4-82,UNKNOWN,Base Set 2,0.47
2102,2,10,2,base4-83,UNKNOWN,Base Set 2,0.65
2103,2,10,3,base4-84,UNKNOWN,Base Set 2,0.83
2104,2,10,4,base4-85,UNKNOWN,Base Set 2,0.38
2105,2,10,5,base4-86,UNKNOWN,Base Set 2,0.53
2106,2,10,6,base4-87,UNKNOWN,Base Set 2,2.11
2107,2,10,7,base4-88,UNKNOWN,Base Set 2,0.41
2108,2,10,8,base4-89,UNKNOWN,Base Set 2,0.45
2109,2,10,9,base4-90,UNKNOWN,Base Set 2,0.45
2111,2,11,1,base4-91,UNKNOWN,Base Set 2,0.35
2112,2,11,2,base4-92,UNKNOWN,Base Set 2,0.49
2113,2,11,3,base4-93,UNKNOWN,Base Set 2,1.06
2114,2,11,4,base4-94,UNKNOWN,Base Set 2,0.51
2115,2,11,5,base4-95,UNKNOWN,Base Set 2,0.29
2116,2,11,6,base4-96,UNKNOWN,Base Set 2,0.35
2117,2,11,7,base4-97,UNKNOWN,Base Set 2,0.6
2118,2,11,8,base4-98,UNKNOWN,Base Set 2,0.53
2119,2,11,9,base4-99,UNKNOWN,Base Set 2,0.8
2121,2,12,1,base4-100,UNKNOWN,Base Set 2,0.35
2122,2,12,2,base4-101,UNKNOWN,Base Set 2,2.72
2123,2,12,3,base4-102,UNKNOWN,Base Set 2,2.23
2124,2,12,4,base4-103,UNKNOWN,Base Set 2,7.47
2125,2,12,5,base4-104,UNKNOWN,Base Set 2,2.69
2126,2,12,6,base4-105,UNKNOWN,Base Set 2,4.44
2127,2,12,7,base4-106,UNKNOWN,Base Set 2,3.23
2128,2,12,8,base4-107,UNKNOWN,Base Set 2,4.3
2129,2,12,9,base4-108,UNKNOWN,Base Set 2,2.51
2131,2,13,1,base4-109,UNKNOWN,Base Set 2,0.33
2132,2,13,2,base4-110,UNKNOWN,Base Set 2,0.33
2133,2,13,3,base4-111,UNKNOWN,Base Set 2,0.36
2134,2,13,4,base4-112,UNKNOWN,Base Set 2,0.77
2135,2,13,5,base4-113,UNKNOWN,Base Set 2,0.39
2136,2,13,6,base4-114,UNKNOWN,Base Set 2,0.79
2137,2,13,7,base4-115,UNKNOWN,Base Set 2,0.46
2138,2,13,8,base4-116,UNKNOWN,Base Set 2,1.29
2139,2,13,9,base4-117,UNKNOWN,Base Set 2,0.31
2141,2,14,1,base4-118,UNKNOWN,Base Set 2,0.33
2142,2,14,2,base4-119,UNKNOWN,Base Set 2,0.3
2143,2,14,3,base4-120,UNKNOWN,Base Set 2,0.35
2144,2,14,4,base4-121,UNKNOWN,Base Set 2,0.3
2145,2,14,5,base4-122,UNKNOWN,Base Set 2,0.24
2146,2,14,6,base4-123,UNKNOWN,Base Set 2,0.32
2147,2,14,7,base4-124,UNKNOWN,Base Set 2,2.23
2148,2,14,8,base4-125,UNKNOWN,Base Set 2,0.29
2149,2,14,9,base4-126,UNKNOWN,Base Set 2,0.72
2151,2,15,1,base4-127,UNKNOWN,Base Set 2,0.28
2152,2,15,2,base4-128,UNKNOWN,Base Set 2,0.38
2153,2,15,3,base4-129,UNKNOWN,Base Set 2,0.3
2154,2,15,4,base4-130,UNKNOWN,Base Set 2,0.25
2155,2,15,5,base4-4,UNKNOWN,Base Set 2,304.88
2156,2,15,6,base4-2,UNKNOWN,Base Set 2,104.69
2157,2,15,7,base4-18,UNKNOWN,Base Set 2,73.77
2158,2,15,8,base4-10,UNKNOWN,Base Set 2,40.96
2159,2,15,9,base4-20,UNKNOWN,Base Set 2,24.31
2161,2,16,1,base4-16,UNKNOWN,Base Set 2,33.18
2162,2,16,2,base4-17,UNKNOWN,Base Set 2,24.6
2163,2,16,3,base4-19,UNKNOWN,Base Set 2,11.0
2164,2,16,4,base4-14,UNKNOWN,Base Set 2,27.41
2165,2,16,5,base4-12,UNKNOWN,Base Set 2,22.99
2166,2,16,6,base4-11,UNKNOWN,Base Set 2,24.13
2167,2,16,7,base4-1,UNKNOWN,Base Set 2,37.01
2168,2,16,8,base4-7,UNKNOWN,Base Set 2,26.86
2169,2,16,9,base4-3,UNKNOWN,Base Set 2,14.71
2171,2,17,1,base4-5,UNKNOWN,Base Set 2,14.02
2172,2,17,2,base4-87,UNKNOWN,Base Set 2,2.11
2173,2,17,3,base4-67,UNKNOWN,Base Set 2,2.22
2174,2,17,4,base4-69,UNKNOWN,Base Set 2,1.2
2175,2,17,5,base4-93,UNKNOWN,Base Set 2,1.06
2176,2,17,6,base4-86,UNKNOWN,Base Set 2,0.53
2177,2,17,7,base4-89,UNKNOWN,Base Set 2,0.45
2178,2,17,8,base4-6,UNKNOWN,Base Set 2,10.79
2179,2,17,9,base4-50,UNKNOWN,Base Set 2,0.9
2181,2,18,1,base4-65,UNKNOWN,Base Set 2,0.42
2182,2,18,2,base4-78,UNKNOWN,Base Set 2,0.41
2183,2,18,3,base4-79,UNKNOWN,Base Set 2,0.38
2184,2,18,4,base4-75,UNKNOWN,Base Set 2,0.47
2185,2,18,5,base4-99,UNKNOWN,Base Set 2,0.8
2186,2,18,6,base4-60,UNKNOWN,Base Set 2,0.59
2187,2,18,7,base4-100,UNKNOWN,Base Set 2,0.35
2188,2,18,8,base4-68,UNKNOWN,Base Set 2,0.43
2189,2,18,9,base4-88,UNKNOWN,Base Set 2,0.41
2191,2,19,1,base4-57,UNKNOWN,Base Set 2,0.92
2192,2,19,2,base4-44,UNKNOWN,Base Set 2,3.58
2193,2,19,3,base4-63,UNKNOWN,Base Set 2,1.74
2194,2,19,4,base4-35,UNKNOWN,Base Set 2,1.73
2195,2,19,5,base4-46,UNKNOWN,Base Set 2,1.23
2196,2,19,6,base4-49,UNKNOWN,Base Set 2,0.54
2197,2,19,7,base4-47,UNKNOWN,Base Set 2,0.71
2198,2,19,8,base4-81,UNKNOWN,Base Set 2,0.43
2199,2,19,9,base4-22,UNKNOWN,Base Set 2,8.65
2201,2,20,1,base4-38,UNKNOWN,Base Set 2,1.01
2202,2,20,2,base4-42,UNKNOWN,Base Set 2,1.21
2203,2,20,3,base4-33,UNKNOWN,Base Set 2,2.08
2204,2,20,4,base4-25,UNKNOWN,Base Set 2,3.83
2205,2,20,5,base4-24,UNKNOWN,Base Set 2,3.19
2206,2,20,6,base4-124,UNKNOWN,Base Set 2,2.23
2207,2,20,7,base4-116,UNKNOWN,Base Set 2,1.29
2208,2,20,8,base4-118,UNKNOWN,Base Set 2,0.33
2209,2,20,9,base4-119,UNKNOWN,Base Set 2,0.3
111,1,1,1,base1-1,UNKNOWN,Base,54.54
112,1,1,2,base1-2,UNKNOWN,Base,159.26
113,1,1,3,base1-3,UNKNOWN,Base,28.31
114,1,1,4,base1-4,UNKNOWN,Base,458.29
115,1,1,5,base1-5,UNKNOWN,Base,26.05
116,1,1,6,base1-6,UNKNOWN,Base,32.98
117,1,1,7,base1-7,UNKNOWN,Base,18.59
118,1,1,8,base1-8,UNKNOWN,Base,0.0
119,1,1,9,base1-9,UNKNOWN,Base,20.25
121,1,2,1,base1-10,UNKNOWN,Base,38.79
122,1,2,2,base1-11,UNKNOWN,Base,28.68
123,1,2,3,base1-12,UNKNOWN,Base,23.09
124,1,2,4,base1-13,UNKNOWN,Base,20.71
125,1,2,5,base1-14,UNKNOWN,Base,43.73
126,1,2,6,base1-15,UNKNOWN,Base,119.49
127,1,2,7,base1-16,UNKNOWN,Base,36.77
128,1,2,8,base1-17,UNKNOWN,Base,3.99
129,1,2,9,base1-18,UNKNOWN,Base,13.23
131,1,3,1,base1-19,UNKNOWN,Base,6.5
132,1,3,2,base1-20,UNKNOWN,Base,7.34
133,1,3,3,base1-21,UNKNOWN,Base,6.78
134,1,3,4,base1-22,UNKNOWN,Base,9.07
135,1,3,5,base1-23,UNKNOWN,Base,2.88
136,1,3,6,base1-24,UNKNOWN,Base,1.8
137,1,3,7,base1-25,UNKNOWN,Base,2.32
138,1,3,8,base1-26,UNKNOWN,Base,1.65
139,1,3,9,base1-27,UNKNOWN,Base,0.96
141,1,4,1,base1-28,UNKNOWN,Base,0.81
142,1,4,2,base1-29,UNKNOWN,Base,1.33
143,1,4,3,base1-30,UNKNOWN,Base,2.15
144,1,4,4,base1-31,UNKNOWN,Base,0.62
145,1,4,5,base1-32,UNKNOWN,Base,1.25
146,1,4,6,base1-33,UNKNOWN,Base,0.99
147,1,4,7,base1-34,UNKNOWN,Base,0.63
148,1,4,8,base1-35,UNKNOWN,Base,1.91
149,1,4,9,base1-36,UNKNOWN,Base,2.74
151,1,5,1,base1-37,UNKNOWN,Base,1.81
152,1,5,2,base1-38,UNKNOWN,Base,1.36
153,1,5,3,base1-39,UNKNOWN,Base,2.13
154,1,5,4,base1-40,UNKNOWN,Base,2.04
155,1,5,5,base1-41,UNKNOWN,Base,1.0
156,1,5,6,base1-42,UNKNOWN,Base,2.43
157,1,5,7,base1-43,UNKNOWN,Base,0.56
158,1,5,8,base1-44,UNKNOWN,Base,1.92
159,1,5,9,base1-45,UNKNOWN,Base,0.8
161,1,6,1,base1-46,UNKNOWN,Base,1.56
162,1,6,2,base1-47,UNKNOWN,Base,0.42
163,1,6,3,base1-48,UNKNOWN,Base,1.16
164,1,6,4,base1-49,UNKNOWN,Base,0.41
165,1,6,5,base1-50,UNKNOWN,Base,0.53
166,1,6,6,base1-51,UNKNOWN,Base,0.41
167,1,6,7,base1-52,UNKNOWN,Base,0.31
168,1,6,8,base1-53,UNKNOWN,Base,0.51
169,1,6,9,base1-54,UNKNOWN,Base,0.7
171,1,7,1,base1-55,UNKNOWN,Base,0.63
172,1,7,2,base1-56,UNKNOWN,Base,0.42
173,1,7,3,base1-57,UNKNOWN,Base,0.69
174,1,7,4,base1-58,UNKNOWN,Base,3.05
175,1,7,5,base1-59,UNKNOWN,Base,0.37
176,1,7,6,base1-60,UNKNOWN,Base,0.41
177,1,7,7,base1-61,UNKNOWN,Base,0.42
178,1,7,8,base1-62,UNKNOWN,Base,0.5
179,1,7,9,base1-63,UNKNOWN,Base,3.04
181,1,8,1,base1-64,UNKNOWN,Base,0.46
182,1,8,2,base1-65,UNKNOWN,Base,0.33
183,1,8,3,base1-66,UNKNOWN,Base,0.47
184,1,8,4,base1-67,UNKNOWN,Base,1.33
185,1,8,5,base1-68,UNKNOWN,Base,0.47
186,1,8,6,base1-69,UNKNOWN,Base,0.37
187,1,8,7,base1-70,UNKNOWN,Base,5.31
188,1,8,8,base1-71,UNKNOWN,Base,3.0
189,1,8,9,base1-72,UNKNOWN,Base,4.58
191,1,9,1,base1-73,UNKNOWN,Base,5.52
192,1,9,2,base1-74,UNKNOWN,Base,8.43
193,1,9,3,base1-75,UNKNOWN,Base,2.39
194,1,9,4,base1-76,UNKNOWN,Base,6.66
195,1,9,5,base1-77,UNKNOWN,Base,4.43
196,1,9,6,base1-78,UNKNOWN,Base,7.12
197,1,9,7,base1-79,UNKNOWN,Base,3.32
198,1,9,8,base1-80,UNKNOWN,Base,1.3
199,1,9,9,base1-81,UNKNOWN,Base,0.7
1101,1,10,1,base1-82,UNKNOWN,Base,1.18
1102,1,10,2,base1-83,UNKNOWN,Base,2.13
1103,1,10,3,base1-84,UNKNOWN,Base,0.57
1104,1,10,4,base1-85,UNKNOWN,Base,1.6
1105,1,10,5,base1-86,UNKNOWN,Base,2.41
1106,1,10,6,base1-87,UNKNOWN,Base,0.44
1107,1,10,7,base1-88,UNKNOWN,Base,1.07
1108,1,10,8,base1-89,UNKNOWN,Base,2.2
1109,1,10,9,base1-90,UNKNOWN,Base,0.27
1111,1,11,1,base1-91,UNKNOWN,Base,0.3
1112,1,11,2,base1-92,UNKNOWN,Base,0.35
1113,1,11,3,base1-93,UNKNOWN,Base,0.25
1114,1,11,4,base1-94,UNKNOWN,Base,0.19
1115,1,11,5,base1-95,UNKNOWN,Base,0.3
1116,1,11,6,base1-96,UNKNOWN,Base,5.78
1117,1,11,7,base1-97,UNKNOWN,Base,0.3
1118,1,11,8,base1-98,UNKNOWN,Base,0.28
1119,1,11,9,base1-99,UNKNOWN,Base,0.25
1121,1,12,1,base1-100,UNKNOWN,Base,0.3
1122,1,12,2,base1-101,UNKNOWN,Base,0.33
1123,1,12,3,base1-102,UNKNOWN,Base,0.3
1124,1,12,4,base1-4,UNKNOWN,Base,458.29
1125,1,12,5,base1-2,UNKNOWN,Base,159.26
1126,1,12,6,base1-15,UNKNOWN,Base,119.49
1127,1,12,7,base1-10,UNKNOWN,Base,38.79
1128,1,12,8,base1-16,UNKNOWN,Base,36.77
1129,1,12,9,base1-14,UNKNOWN,Base,43.73
1131,1,13,1,base1-1,UNKNOWN,Base,54.54
1132,1,13,2,base1-3,UNKNOWN,Base,28.31
1133,1,13,3,base1-12,UNKNOWN,Base,23.09
1134,1,13,4,base1-8,UNKNOWN,Base,0.0
1135,1,13,5,base1-4,UNKNOWN,Base,458.29
1136,1,13,6,base1-10,UNKNOWN,Base,38.79
1137,1,13,7,base1-58,UNKNOWN,Base,3.05
1138,1,13,8,base1-44,UNKNOWN,Base,1.92
1139,1,13,9,base1-46,UNKNOWN,Base,1.56
1141,1,14,1,base1-63,UNKNOWN,Base,3.04
1142,1,14,2,base1-57,UNKNOWN,Base,0.69
1143,1,14,3,base1-61,UNKNOWN,Base,0.42
1144,1,14,4,base1-5,UNKNOWN,Base,26.05
1145,1,14,5,base1-31,UNKNOWN,Base,0.62
1146,1,14,6,base1-35,UNKNOWN,Base,1.91
1147,1,14,7,base1-43,UNKNOWN,Base,0.56
1148,1,14,8,base1-52,UNKNOWN,Base,0.31
1149,1,14,9,base1-53,UNKNOWN,Base,0.51
1151,1,15,1,base1-51,UNKNOWN,Base,0.41
1152,1,15,2,base1-50,UNKNOWN,Base,0.53
1153,1,15,3,base1-68,UNKNOWN,Base,0.47
1154,1,15,4,base1-60,UNKNOWN,Base,0.41
1155,1,15,5,base1-49,UNKNOWN,Base,0.41
1156,1,15,6,base1-47,UNKNOWN,Base,0.42
1157,1,15,7,base1-69,UNKNOWN,Base,0.37
1158,1,15,8,base1-45,UNKNOWN,Base,0.8
1159,1,15,9,base1-55,UNKNOWN,Base,0.63
1161,1,16,1,base1-59,UNKNOWN,Base,0.37
1162,1,16,2,base1-38,UNKNOWN,Base,1.36
1163,1,16,3,base1-30,UNKNOWN,Base,2.15
1164,1,16,4,base1-42,UNKNOWN,Base,2.43
1165,1,16,5,base1-24,UNKNOWN,Base,1.8
1166,1,16,6,base1-32,UNKNOWN,Base,1.25
1167,1,16,7,base1-34,UNKNOWN,Base,0.63
1168,1,16,8,base1-33,UNKNOWN,Base,0.99
1169,1,16,9,base1-54,UNKNOWN,Base,0.7
1171,1,17,1,base1-18,UNKNOWN,Base,13.23
1172,1,17,2,base1-26,UNKNOWN,Base,1.65
1173,1,17,3,base1-28,UNKNOWN,Base,0.81
1174,1,17,4,base1-23,UNKNOWN,Base,2.88
1175,1,17,5,base1-21,UNKNOWN,Base,6.78
1176,1,17,6,base1-20,UNKNOWN,Base,7.34
1177,1,17,7,base1-64,UNKNOWN,Base,0.46
1178,1,17,8,base1-65,UNKNOWN,Base,0.33
1179,1,17,9,base1-96,UNKNOWN,Base,5.78
1181,1,18,1,base1-88,UNKNOWN,Base,1.07
1182,1,18,2,base1-91,UNKNOWN,Base,0.3
1183,1,18,3,base1-92,UNKNOWN,Base,0.35
1184,1,18,4,base1-87,UNKNOWN,Base,0.44
1185,1,18,5,base1-95,UNKNOWN,Base,0.3
1186,1,18,6,base1-94,UNKNOWN,Base,0.19
1187,1,18,7,base1-90,UNKNOWN,Base,0.27
1188,1,18,8,base1-85,UNKNOWN,Base,1.6
1189,1,18,9,base1-81,UNKNOWN,Base,0.7
1191,1,19,1,base1-98,UNKNOWN,Base,0.28
1192,1,19,2,base1-100,UNKNOWN,Base,0.3
1193,1,19,3,base1-102,UNKNOWN,Base,0.3
1194,1,19,4,base1-99,UNKNOWN,Base,0.25
1195,1,19,5,base1-101,UNKNOWN,Base,0.33
1196,1,19,6,base1-97,UNKNOWN,Base,0.3
1197,1,19,7,base1-96,UNKNOWN,Base,5.78
1198,1,19,8,base1-4,UNKNOWN,Base,458.29
1199,1,19,9,base1-2,UNKNOWN,Base,159.26
1201,1,20,1,base1-15,UNKNOWN,Base,119.49
1202,1,20,2,base1-10,UNKNOWN,Base,38.79
1203,1,20,3,base1-16,UNKNOWN,Base,36.77
1204,1,20,4,base1-6,UNKNOWN,Base,32.98
1205,1,20,5,base1-13,UNKNOWN,Base,20.71
1206,1,20,6,base1-11,UNKNOWN,Base,28.68
1207,1,20,7,base1-7,UNKNOWN,Base,18.59
1208,1,20,8,base1-9,UNKNOWN,Base,20.25
1209,1,20,9,base1-3,UNKNOWN,Base,28.31
